stage_id,name,description
1,Предпроектная подготовка и Техническое задание (ТЗ),"Сбор исходных данных, анализ участка, геологические и геодезические изыскания, формирование подробного технического задания."
2,Эскизный проект (ЭП),"Разработка основной концепции, стиля, планировки помещений, расположения дома на участке и его внешнего вида, создание 3D-визуализаций."
3,"Архитектурный проект (стадия ""Проект"" или ""П"")","Детальная проработка утвержденного эскиза, включая архитектурные (АР) и конструктивные (КР) решения для получения разрешения на строительство."
4,"Рабочая документация (стадия ""РД"")","Создание полного комплекта детализированных чертежей, узлов и спецификаций, по которым строители будут непосредственно возводить здание."
5,Проектирование инженерных систем,"Разработка отдельных проектов для всех коммуникаций: отопление, вентиляция, водоснабжение, канализация, электрика, слаботочные системы."
6,Дизайн-проект интерьера,"Детальная проработка всех внутренних помещений: планы расстановки мебели, схемы освещения, планы полов и потолков, развертки стен с отделочными материалами."
7,Ландшафтный проект,"Проектирование благоустройства территории: дорожки, площадки, озеленение, автополив, наружное освещение, малые архитектурные формы."
8,Подготовительные и земляные работы,"Расчистка территории, снос строений, организация стройплощадки, рытье котлована, прокладка траншей"
9,Нулевой цикл (фундаментные работы),"Устройство фундамента, гидроизоляция, обратная засыпка, возведение стен подвала или цокольного этажа"
10,Возведение несущих конструкций,"Строительство стен, колонн, монтаж перекрытий, устройство лестничных маршей"
11,Кровельные работы,"Монтаж стропильной системы, утепление, гидроизоляция, укладка кровельного покрытия, установка водосточной системы"
12,Фасадные и наружные работы,"Утепление фасада, отделка (камень, штукатурка), установка окон и наружных дверей, монтаж кованых элементов"
13,Прокладка инженерных систем,"Монтаж электропроводки, систем водоснабжения, канализации, отопления, вентиляции и кондиционирования"
14,Пусконаладочные работы,"Настройка и запуск всех инженерных систем, проверка работоспособности оборудования"
15,Внутренние черновые работы,"Штукатурка стен, устройство стяжки пола, монтаж перегородок, разводка сантехнических и электрических точек"
16,Внутренние чистовые работы,"Укладка плитки, напольных покрытий, покраска, поклейка обоев, установка межкомнатных дверей, монтаж потолков"
17,Комплектация и меблировка,"Установка сантехники, монтаж кухни, сборка и расстановка мебели, установка бытовой техники и осветительных приборов"
18,Благоустройство территории,"Ландшафтный дизайн, устройство дорожек и площадок, монтаж системы полива, озеленение, установка забора и ворот"
19,Финальные штрихи и сдача объекта,"Генеральная уборка (клининг), декорирование, устранение мелких недочетов, подготовка исполнительной документации"
20,Эксплуатация и гарантийное обслуживание,"Передача объекта в эксплуатацию, гарантийное сопровождение, сервисное обслуживание систем"
21,Авторский надзор,Контроль со стороны архитектора и проектировщиков за ходом строительства на соответствие проектной документации.
22,Напоминания,Для напоминаний (в перспективе)
